№;Город;Адрес;Отчетный месяц;Отчетный период начало;Отчетный период конец;Уровень;Тайм зона;Активная прием;Активная отдача;Реактивная отдача;Реактивная прием;Каталог
;;пр. Шмитовский, д.16, к.1;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;просп. Маршала Жукова, д.11, к.1;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Авиационная, д.68, к.3;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Антонова-Овсеенко, д.5, к.2;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Большая Грузинская, д.12;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Большая Грузинская, д.37;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Большая Никитская, д.21/18;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Вилиса Лациса, д.13, к.1;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Вишневая, д.8/16;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Габричевского, д.10, к.2;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Габричевского, д.10, к.2;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Генерала Белобородова, д.11;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Генерала Глаголева, д.2;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Генерала Глаголева, д.30, к.2;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Героев Панфиловцев, д.43;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Живописная, д.34, к.1;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Исаковского, д.2;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Исаковского, д.31;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Красная Пресня, д.23, стр.1а;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Лодочная, д.29, стр.1;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Маршала Бирюзова, д.4, к.1;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Маршала Василевского, д.3, к.1;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Маршала Жукова, д.44;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Маршала Катукова, д.17, к.1;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Митинская, д.47;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Митинская, д.52;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Мневники, д.9;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Народного Ополчения, д.20, к.1;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Планерная, д.12, к.1;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Пресненский вал, д.3, стр.1;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Расплетина, д.10, к.1;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Рочдельская, д.12;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Рыбалко, д.3;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Садовая-Кудринская, д.25;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Свободы, д.65;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Свободы, д.91;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Сходненская, д.44/17;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Таллинская, д.26;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
