№;P+, кВт;R+, кВар;Время;Дата
460;0.7150;0.0830;14:00;10.09.2019
461;0.7750;0.0960;14:30;10.09.2019
462;0.7860;0.1030;15:00;10.09.2019
463;0.7930;0.1120;15:30;10.09.2019
464;0.7600;0.0970;16:00;10.09.2019
465;0.7400;0.0950;16:30;10.09.2019
466;0.6980;0.0960;17:00;10.09.2019
467;0.6960;0.0930;17:30;10.09.2019
468;0.7090;0.0900;18:00;10.09.2019
469;0.6360;0.0770;18:30;10.09.2019
470;0.5990;0.0680;19:00;10.09.2019
471;0.5610;0.0600;19:30;10.09.2019
472;0.5250;0.0550;20:00;10.09.2019
473;0.5460;0.0590;20:30;10.09.2019
474;0.5380;0.0620;21:00;10.09.2019
475;0.5510;0.0630;21:30;10.09.2019
476;0.5760;0.0590;22:00;10.09.2019
477;0.6210;0.0750;22:30;10.09.2019
478;0.6350;0.0780;23:00;10.09.2019
479;0.5790;0.0640;23:30;10.09.2019
480;0.5480;0.0610;00:00;11.09.2019
481;0.5310;0.0590;00:30;11.09.2019
482;0.5140;0.0540;01:00;11.09.2019
483;0.5600;0.0550;01:30;11.09.2019
484;0.5510;0.0650;02:00;11.09.2019
485;0.5660;0.0700;02:30;11.09.2019
486;0.5500;0.0620;03:00;11.09.2019
487;0.5290;0.0610;03:30;11.09.2019
488;0.5190;0.0550;04:00;11.09.2019
489;0.5130;0.0540;04:30;11.09.2019
490;0.5210;0.0530;05:00;11.09.2019
491;0.5460;0.0550;05:30;11.09.2019
492;0.5550;0.0560;06:00;11.09.2019
493;0.5350;0.0560;06:30;11.09.2019
494;0.4880;0.0480;07:00;11.09.2019
495;0.4890;0.0400;07:30;11.09.2019
496;0.5380;0.0280;08:00;11.09.2019
497;0.5700;0.0410;08:30;11.09.2019
498;0.6320;0.0510;09:00;11.09.2019
499;0.6760;0.0530;09:30;11.09.2019
500;0.7100;0.0810;10:00;11.09.2019
501;0.7550;0.0910;10:30;11.09.2019
502;0.8150;0.1180;11:00;11.09.2019
503;0.7350;0.0910;11:30;11.09.2019
504;0.7420;0.0940;12:00;11.09.2019
505;0.6870;0.0690;12:30;11.09.2019
506;0.6490;0.0460;13:00;11.09.2019
507;0.7280;0.0810;13:30;11.09.2019
